                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                0.96887,                0.58209,                0.63331,                0.70511,                0.48957,                0.53742,                0.35233,                0.93393,                  0.555,                0.63197,                 0.0083,                 0.0083,                 0.0083
                     70,                0.97334,                0.58062,                 0.6334,                0.69294,                0.47109,                0.53346,                0.34615,                0.93624,                0.55613,                0.63106,               0.008275,               0.008275,               0.008275
                     71,                0.96361,                0.57498,                0.63049,                0.67324,                 0.5199,                0.55119,                0.34324,                0.93586,                0.55636,                0.63478,                0.00825,                0.00825,                0.00825
                     72,                0.97201,                0.57862,                0.63255,                0.72704,                0.50772,                 0.5574,                0.35078,                0.93353,                0.55724,                0.63478,               0.008225,               0.008225,               0.008225
                     73,                 0.9597,                0.57334,                0.63073,                 0.7185,                0.47938,                0.52964,                0.34085,                0.93275,                0.55891,                0.63063,                 0.0082,                 0.0082,                 0.0082
                     74,                0.96226,                0.57491,                0.63066,                0.75018,                0.47379,                0.55512,                0.35692,                0.93697,                0.54759,                0.63387,               0.008175,               0.008175,               0.008175
                     75,                0.95436,                0.57275,                0.63105,                0.65948,                0.50159,                0.52767,                0.34327,                0.93874,                0.55564,                0.63314,                0.00815,                0.00815,                0.00815
                     76,                0.95296,                0.56557,                0.63005,                0.77778,                0.48231,                0.55863,                0.36105,                0.93345,                0.55031,                0.63529,               0.008125,               0.008125,               0.008125
                     77,                 0.9619,                0.57381,                0.62856,                0.69893,                0.49595,                0.54455,                0.33909,                0.93402,                0.55859,                0.63047,                 0.0081,                 0.0081,                 0.0081
                     78,                0.95097,                0.56739,                0.62898,                0.70287,                0.51691,                0.54581,                0.36165,                0.92862,                0.55587,                0.63117,               0.008075,               0.008075,               0.008075
                     79,                0.95601,                0.57288,                0.62803,                0.74642,                 0.4712,                0.53845,                0.35098,                0.92652,                0.55727,                0.62916,                0.00805,                0.00805,                0.00805
                     80,                0.95413,                0.56351,                0.62598,                0.68354,                0.48384,                0.51797,                0.33312,                0.93307,                0.55654,                0.63007,               0.008025,               0.008025,               0.008025
                     81,                0.95086,                0.56393,                0.62613,                0.66001,                  0.486,                0.52759,                0.35186,                0.92714,                0.55214,                 0.6307,                  0.008,                  0.008,                  0.008
                     82,                0.94626,                0.56719,                0.62729,                0.64592,                0.51311,                 0.5318,                0.35328,                0.91856,                0.55805,                0.62882,               0.007975,               0.007975,               0.007975
                     83,                0.94673,                0.56335,                0.62626,                0.68257,                0.50509,                0.54193,                 0.3462,                0.93051,                0.55517,                0.63149,                0.00795,                0.00795,                0.00795
                     84,                0.94416,                0.55969,                0.62609,                0.72885,                0.50402,                0.55023,                0.35549,                0.92311,                0.54693,                0.62982,               0.007925,               0.007925,               0.007925
                     85,                 0.9429,                0.55813,                0.62589,                0.78601,                0.45009,                0.54073,                0.35425,                0.91837,                0.55388,                0.62743,                 0.0079,                 0.0079,                 0.0079
                     86,                0.93764,                0.55871,                0.62521,                0.78092,                0.45565,                0.54053,                0.35631,                0.91968,                0.54756,                0.62618,               0.007875,               0.007875,               0.007875
                     87,                0.94045,                0.55739,                0.62521,                 0.7475,                0.48905,                0.53673,                0.34977,                0.92419,                 0.5495,                0.63017,                0.00785,                0.00785,                0.00785
                     88,                0.94171,                0.55791,                0.62574,                0.74952,                0.48801,                0.54734,                0.35352,                0.92116,                0.55025,                0.63086,               0.007825,               0.007825,               0.007825
                     89,                0.92888,                 0.5504,                0.62233,                0.71259,                0.48542,                0.54746,                0.35196,                 0.9221,                0.54112,                 0.6314,                 0.0078,                 0.0078,                 0.0078
                     90,                0.93666,                0.55063,                 0.6252,                0.77075,                0.46542,                0.54823,                0.35384,                0.92135,                0.54592,                0.63303,               0.007775,               0.007775,               0.007775
                     91,                0.93515,                0.55517,                0.62457,                0.78205,                0.46683,                0.55652,                0.36219,                0.92092,                0.54537,                 0.6323,                0.00775,                0.00775,                0.00775
                     92,                0.93695,                0.54975,                0.62473,                0.77382,                0.48754,                0.54539,                0.36127,                0.92403,                0.54704,                0.62961,               0.007725,               0.007725,               0.007725
                     93,                0.92361,                0.54284,                0.62116,                0.72463,                0.50575,                0.55129,                0.35876,                 0.9146,                0.54709,                0.63079,                 0.0077,                 0.0077,                 0.0077
                     94,                0.93341,                0.54851,                0.62245,                0.74507,                0.49987,                0.56112,                0.36206,                0.91631,                0.54593,                0.62834,               0.007675,               0.007675,               0.007675
                     95,                0.91885,                0.53891,                0.61969,                 0.7214,                0.48862,                0.55495,                0.36046,                0.91085,                0.54455,                0.63146,                0.00765,                0.00765,                0.00765
                     96,                0.93171,                0.54964,                0.62307,                0.73795,                0.49508,                0.55934,                 0.3629,                0.91203,                0.54247,                0.62864,               0.007625,               0.007625,               0.007625
                     97,                0.92516,                0.54458,                0.62145,                0.77652,                 0.4785,                0.55333,                0.35009,                0.91597,                0.54418,                0.62932,                 0.0076,                 0.0076,                 0.0076
                     98,                0.92006,                0.54319,                0.62098,                0.74244,                0.48978,                0.55635,                0.34782,                0.92556,                0.54801,                0.63299,               0.007575,               0.007575,               0.007575
                     99,                0.92151,                0.54342,                0.62131,                0.77097,                0.48455,                 0.5563,                0.35331,                0.91654,                0.54771,                0.62986,                0.00755,                0.00755,                0.00755
                    100,                0.91526,                0.53898,                0.61952,                0.73758,                0.50828,                0.55786,                0.35305,                 0.9131,                0.53826,                0.63155,               0.007525,               0.007525,               0.007525
                    101,                0.91461,                0.53645,                0.62108,                0.74914,                 0.4913,                0.53352,                0.34792,                0.91771,                 0.5374,                0.62903,                 0.0075,                 0.0075,                 0.0075
                    102,                0.91281,                0.53374,                0.61863,                0.68016,                0.52483,                0.55578,                0.35456,                0.91425,                0.53974,                0.63013,               0.007475,               0.007475,               0.007475
                    103,                0.90607,                0.53201,                0.61731,                0.73944,                0.45554,                 0.5279,                0.34189,                0.90824,                0.54394,                0.62554,                0.00745,                0.00745,                0.00745
